username,category,engagement_rate,alignment_genZ
sarahingle_1,family,0.046,1
em_and_twinzzz,family,0.023,0
the_moocs,family,0.065,1
whatmomslove,family,0.047,1
lovingharrisonandevie,family,0.053,0
steffholmes.co,family,0.013,0
brieemuccie,family,0.037,0
michelle_bollen,family,0.012,0
jennifer.mancuso,family,0.06,0
mrs.sydneyhayes,family,0.059,1
daniellemarieweber,family,0.063,0
mariellemarie_,family,0.086,1
lovedbyemily,family,0.065,0
jennepher_,family,0.103,1
father_of_daughters,family,0.022,1
justy_olive,family,0.05,0
dollywolly88,family,0.047,0
thisgatherednest,family,0.064,0
tiffany3366,family,0.056,0
tictactoyfamily,family,0.132,1
erikarbn,family,0.065,1
stories.with.the.ohs,family,0.053,0
maisymeowblog,family,0.062,0
chantellespark,family,0.064,1
theverybestbabystuff,family,0.062,0
iliterallylol,family,0.018,0
elsie_and_freya,family,0.03,0
littleprinceleopold,family,0.019,0
ca_tnt,family,0.059,1
joyfulchaosmama,family,0.047,0
laura_summers,family,0.038,1
islandofsea,family,0.056,1
eqaustin,family,0.043,1
mummyoffouruk,family,0.028,0
raising.morgans,family,0.042,1
maryssaalbert,family,0.031,1
kimeshiababyy,family,0.027,1
coffeemugsnbabyhugs,family,0.033,1
marcuspaidotheo,family,0.03,0
andrealovisee,family,0.056,1
missporsha,family,0.048,0
aforeverlylove,family,0.039,0
sunshinemommablog,family,0.044,1
helen_a_,family,0.059,0
boy_mommy_a_a_a,family,0.069,0
hellobohoblonde,family,0.056,1
thetaleofmummyhood,family,0.044,1
thesingleton.six,family,0.045,1
melissa_castan,family,0.029,1
mrskellystamps,family,0.109,0
thebabyvine,family,0.059,1
brittttanyjohnson,family,0.065,1
oddhogg,family,0.047,0
elliandflo,family,0.041,1
_capturingmamahood,family,0.019,0
ourcrazylifeinsquares,family,0.061,1
baby_wynter_,family,0.057,0
alligoldenphotography,family,0.049,1
leonard.charleston,family,0.076,0
heatherbahorich,family,0.035,0
mummylauretta,family,0.137,1
k.ayo0,family,0.035,0
lucie.ouradova,family,0.046,1
tiffanidgarcia,family,0.032,1
mariemjsoh,family,0.058,0
mrsbeckstrom,family,0.069,0
the.dearest.days,family,0.037,0
pampuertas,family,0.037,0
raisingabullock,family,0.05,1
sabrilia,family,0.068,0
ash_frey_ditch,family,0.061,0
littlerivertribe,family,0.084,0
thelifeofrileyfamily,family,0.051,1
yagmur_hva_,family,0.046,1
theconnorcrew,family,0.018,0
blessed_by_brynn,family,0.014,0
thelittlestdarlings,family,0.024,1
mummytodex,family,0.083,1
jocelyn_lb,family,0.068,0
stjohnstunnar,family,0.055,1
coconuted,family,0.059,0
isabelkbrandon,family,0.016,1
thestrattons,family,0.039,0
aussiebrandreps,family,0.055,0
miss_pocahontas__,family,0.055,1
threebirdies,family,0.037,1
babyboybakery,family,0.018,0
lifeatninjamanor,family,0.052,1
brandijeter,family,0.013,1
charlottehangerx,family,0.027,1
whatsupfagans,family,0.054,1
jessicajopool,family,0.037,0
annina85,family,0.022,1
lyssadawson,family,0.14,1
mommytor_az,family,0.05,1
mumneedscoffee,family,0.012,1
j.mom,family,0.067,0
mumma_and_her_babes,family,0.022,0
laiacarvajal2301,family,0.05,0
wearingmomjeans,family,0.026,0
gayetta_b,family,0.026,1
mamkadaja,family,0.022,1
marenaroz,family,0.029,1
amidahenryteeb,family,0.032,1
kristahapp,family,0.051,1
odeline_petitspapiers,family,0.055,1
aleighjoymoore,family,0.067,0
trillizosmasdos,family,0.031,1
laurenblixrud,family,0.011,0
capenevans,family,0.055,1
theb_bgirls,family,0.061,1
keely_busby,family,0.054,1
harlowandwinter,family,0.051,0
amberdenae,family,0.013,0
tohudsonwithlove,family,0.033,1
themainsgirls,family,0.019,1
ag_4allages,family,0.063,0
t.beaston,family,0.024,1
mamma.carina,family,0.041,0
nazhelms,family,0.042,1
malin.vedaa,family,0.049,0
beforeiwasyourmum,family,0.033,0
divaioilaria,family,0.012,0
taylorabshure,family,0.031,1
danaschmoyer,family,0.042,1
pgpbmeghan,family,0.018,0
themarigoldsix,family,0.059,1
first.name.lily,family,0.051,1
homeoftheharveys,family,0.06,0
loveon.asunday,family,0.07,0
phoenixstafford,family,0.01,1
heidiliz,family,0.041,0
livingwiththelaras,family,0.039,0
pineandpoppyshop,family,0.029,1
sarahjaynefragola,family,0.065,1
heykayelle,family,0.045,1
gniccccc,family,0.036,0
the_suzlyfe,family,0.045,0
realmumreview,family,0.047,0
anniesforgetmeknots,family,0.042,0
threeclementines,family,0.033,0
lucas_and_his_adventures,family,0.051,1
jadelizroper,family,0.046,0
rachelleswannie,family,0.065,0
mellypook,family,0.145,1
kelly.klumpp,family,0.011,1
fidlerscrossing,family,0.026,1
_cassieleescott,family,0.037,1
whatsup_buttarcup,family,0.116,1
babiesandbackbends,family,0.031,0
kidzootd,family,0.061,1
kimibbong1317,family,0.032,1
myviewfromuphere,family,0.013,0
marquis_clarke,family,0.116,1
ourlifeinvacationland,family,0.032,1
floridaray18,family,0.043,0
goodnesschristina,family,0.056,0
britt_saulque,family,0.064,1
lexahdavis,family,0.05,1
withlovekellie,family,0.038,0
stessy_owen,family,0.035,1
josi_lewina_lou,family,0.042,0
sarah_jane.youtube,family,0.041,1
raisingrosiejane,family,0.055,0
danahiabaileyhill,family,0.055,1
onlyoneyou.de,family,0.022,0
jillianburden,family,0.064,1
drsonrisasac,family,0.021,0
kcstauffer,family,0.089,0
shayla_mariie,family,0.037,1
millieandmommie,family,0.04,1
alemanosalvas,family,0.119,1
ralphie.rw,family,0.055,0
thereserandow,family,0.024,1
mad4mila,family,0.041,1
elliottboykent,family,0.078,0
michellemoehle,family,0.014,0
imogenstewart,family,0.055,1
mama_and_triplets,family,0.044,0
katiletters,family,0.043,1
insta.megz,family,0.05,0
brittaniborenleach,family,0.058,0
audreysckoropad,family,0.053,0
nici_forever_official,family,0.065,0
eminesanders,family,0.06,0
kelseyclosin,family,0.116,1
storiesbycecilie,family,0.031,1
chantelleenelson,family,0.031,1
amy_greaves1,family,0.016,0
misshaileyelizabeth,family,0.018,1
little.rosie.daily,family,0.031,0
ashleywbrickner,family,0.065,1
alanababyholiday,family,0.056,1
themcintoshmom,family,0.047,1
destinymoniz,family,0.039,0
anotherbloggermum,family,0.059,1
amomstake,family,0.026,0
thelasercorn,family,0.068,0
eden_and_oscar,family,0.091,0
adventure_meets_style,family,0.019,1
bellas_grayce,family,0.023,1
snagdip,family,0.015,0
mammachelibro,family,0.049,0
wstcoastmama,family,0.056,1
the_stephen_3,family,0.03,0
mveronicaberaldo,family,0.05,0
mama.shocks,family,0.026,1
jenkhawkins,family,0.063,0
lifelittleones,family,0.025,1
fizzypeaches,family,0.035,0
madameandersson,family,0.042,0
jessgrune,family,0.061,1
mstattooed,family,0.027,0
harlenbodhiwhite,family,0.06,0
andrea.lara,family,0.031,1
wowjjiny,family,0.038,0
bethanyciotola,family,0.045,0
mrskaitlynhuff,family,0.014,1
devonlynnm,family,0.016,0
crecerconzaira,family,0.012,1
allisontuttle,family,0.036,1
austinandemmett,family,0.058,1
analyticalmommy,family,0.046,0
_andrea_snow,family,0.047,1
mummaizzo,family,0.012,1
mamadrey88,family,0.059,0
karen.jramos,family,0.078,0
jill.jill,family,0.06,1
ourblendedhome,family,0.029,0
naomidecraeye,family,0.066,1
lifewithlouiebutt,family,0.114,1
throughamiseyes,family,0.067,1
brassefrue,family,0.032,0
ameliahannah,family,0.049,0
samandnia,family,0.038,1
islabayandreef,family,0.021,1
amayes,family,0.021,1
jolie_anne_photography,family,0.047,1
christycusato,family,0.068,1
aharmonmoore,family,0.063,1
stylishasamother,family,0.044,0
georgina_brights,family,0.011,0
thesimplefolk_,family,0.042,0
ashwisdom,family,0.044,1
kokoshanne,family,0.06,0
krystal_dawnl,family,0.035,0
mummywright6,family,0.013,0
foreverfreckledblog,family,0.033,1
colorblind_bird,family,0.012,1
mayavorderstrasse,family,0.053,1
tonjeoglinnea,family,0.033,0
bitsofbri,family,0.013,0
mommaprana,family,0.019,1
mammaogfillip,family,0.017,0
by_lylu,family,0.016,1
carlykozz,family,0.015,0
laurenbehindthecamera,family,0.056,0
aprilaugustphotos,family,0.054,1
mymunchkins3,family,0.07,0
stephloveshoney,family,0.047,0
watermeloneggrolls,family,0.046,0
kaylaolayos,family,0.047,0
mommydoesntlie,family,0.014,1
frankiloveszara,family,0.033,0
magiccity_mom,family,0.054,0
conz,family,0.057,1
8passengers,family,0.047,0
lu_mulloy,family,0.031,0
lenaridley,family,0.043,1
zarolakids,family,0.123,0
alisang,family,0.029,1
califfcreations,family,0.058,0
housewifestyle,family,0.05,1
the_hollytree,family,0.013,1
k.byny,family,0.033,1
carlykenihan,family,0.045,0
almaesal,family,0.046,0
extrasparklesplease,family,0.059,1
valeriaansuini,family,0.1,1
coco.loren,family,0.029,0
millie_and_chloe,family,0.022,1
therapeuticmiles,family,0.029,0
can1love,family,0.069,0
apluslifeblog,family,0.057,0
educatingmummy,family,0.04,0
emma_jane1392,family,0.148,1
____mamamia____,family,0.027,0
itsmekassidee,family,0.04,1
raising_our_girls,family,0.011,0
thechiromama,family,0.062,1
melinaribas,family,0.015,1
renee.barendregt,family,0.047,0
atoddlerandatopknot,family,0.04,0
aglassofgoldwater,family,0.016,1
josephineacreativelife,family,0.049,1
daddysgrounded,family,0.033,1
the_jorgensens,family,0.055,0
jasmineadisbeth,family,0.132,0
xo.rachelpitzel,family,0.025,0
amothers.love,family,0.065,1
biffandi,family,0.042,0
nhutella_,family,0.029,1
melwatts,family,0.021,0
sami_riccioli,family,0.03,0
hbendiksen,family,0.058,1
roussandtriplets,family,0.021,1
thatdadblog,family,0.106,1
heyykori,family,0.096,0
rayvennnhambyyy,family,0.062,0
hellopoppylee,family,0.032,0
mol.simons,family,0.066,1
babisabbag,family,0.054,1
kerenswan,family,0.141,0
une_maman_louve,family,0.015,0
thentherewerethree15,family,0.1,1
rachaelbaty,family,0.058,0
ericapatten,family,0.028,0
elliemecham,family,0.013,1
niya1niya,family,0.062,1
alma_cupcakes,family,0.028,0
martinesimensen,family,0.017,0
mammansia_chica,family,0.014,1
lindsaybaltimore,family,0.115,0
emelia_lawrence,family,0.048,0
hannahjane_uk,family,0.012,0
gracesworldofficial,family,0.061,0
thefamilysmith5,family,0.066,0
momma.hagan,family,0.02,0
tate28,family,0.044,0
sparklesandstretchmarks,family,0.023,1
dianna_ivanov,family,0.064,0
julianneiverson,family,0.023,0
simoneplus,family,0.036,1
unpapaconbarba,family,0.024,0
sarahholstrom,family,0.037,0
catherine.wigg,family,0.034,1
szafranski.quadruplets,family,0.08,0
bethbluu,family,0.029,1
dirtydiaperdiaries,family,0.033,1
kellynting,family,0.015,1
kgmilller,family,0.048,0
kissmytulle,family,0.065,1
arichandjazzylife,family,0.065,0
stephyhigh,family,0.046,1
dropdeadpaige,family,0.033,1
triplets_2mm,family,0.06,1
skinnyandsane,family,0.051,1
kikioella,family,0.079,0
ledgerandmajor,family,0.053,0
iamkellyhughes,family,0.037,0
lightsplusheaven,family,0.059,0
houseoferamiha,family,0.054,1
ardenjenkins,family,0.065,0
meghanjoytoday,family,0.047,0
theforestfox,family,0.012,0
motherhood_unhinged,family,0.025,0
wildishjess,family,0.027,0
martinabohnslav,family,0.04,0
nichole_melrose,family,0.051,0
rossellacervone,family,0.033,0
mamastateofmind,family,0.057,1
morena_pg,family,0.056,1
mainlymarta,family,0.063,1
brechildress,family,0.083,1
sunbonchung,family,0.026,0
emilyboazman,family,0.057,1
wearealltheraige,family,0.048,0
martmama,family,0.052,1
sibel_ersan,family,0.038,0
newmumonline,family,0.057,1
katyasinka,family,0.034,0
itsabellazoey,family,0.046,1
jessicastatezni,family,0.064,0
when_three_become_four,family,0.139,0
thebluegrassmom,family,0.016,1
brittanybmassey,family,0.029,0
noahsdaddotcom,family,0.041,1
onemerrymama,family,0.028,1
britt_horton,family,0.028,1
toyslikehoney,family,0.067,0
brookieshandmade,family,0.028,0
kateystanley,family,0.068,1
amiranbabayev,family,0.025,0
porschaduh,family,0.03,0
carolinaaandes,family,0.048,0
twistmepretty,family,0.063,1
lessrefinedmind,family,0.046,1
mrsdchastain,family,0.021,0
lovinglymom,family,0.06,1
anastasiajanel,family,0.027,1
vilmariemojica,family,0.053,1
amotherthing,family,0.064,0
wishesandwellies,family,0.053,1
allabouteverly,family,0.012,1
rosiemaxhimer,family,0.05,0
saskiaandchris,family,0.033,1
juliaelizabethkitchen,family,0.055,1
misskyreeloves,family,0.014,1
hannahlilywilliams,family,0.055,1
shanon_butler,family,0.044,0
tiffanychingbean,family,0.069,0
haylee_and_co,family,0.065,0
iamheizzie,family,0.033,1
athomewithnatalie,family,0.057,1
colodamamae,family,0.012,0
stellaandblaise,family,0.038,0
lachiuz,family,0.023,1
lellacurvymama,family,0.119,0
losjuguetesdearantxa,family,0.028,0
katrine_l_hansen,family,0.052,0
thedonnellans,family,0.051,1
alexandria_daniella,family,0.046,0
life_with_the_austins,family,0.076,1
daisydagg,family,0.098,1
janapegrimova,family,0.031,1
tori.mccain,family,0.064,1
vaneso89,family,0.041,0
stephen_nataliestyle,family,0.04,0
liz.and.scarlett,family,0.062,0
hannahslyfox,family,0.064,0
talirivlinron,family,0.033,0
blackmomskillingit,family,0.051,0
familiamolona,family,0.034,0
luna_and_mamafran,family,0.067,0
officialbabygang,family,0.051,1
itsmotherland,family,0.069,1
mamadivertida,family,0.024,1
mommasociety,family,0.058,1
joyarose,family,0.018,1
mebecomingmum,family,0.045,1
twin.pickle,family,0.039,0
dear_mummy,family,0.054,0
fitmomma4three,family,0.066,0
julitisaguda,family,0.027,1
tristapeterson_,family,0.038,0
thenataliejoy,family,0.034,0
mommakoyle,family,0.04,1
this_father_life,family,0.048,1
mixandmatchmama,family,0.058,0
laurahopa,family,0.031,0
ashlee_jordyn,family,0.107,1
thismamaloveslife,family,0.02,0
everyday_eve_,family,0.022,1
cravyandco,family,0.058,1
wearlovewanders,family,0.01,0
tyrhaug,family,0.053,0
andrea.m.shepard,family,0.052,0
momlifewithamanda,family,0.053,1
wilderandmae,family,0.022,1
karlyandcooper,family,0.017,1
sam_calloway,family,0.026,0
anitabanushi,family,0.035,1
rockabyebabyblog,family,0.043,1
maintainingmeghan,family,0.114,0
embermichelle,family,0.03,1
annielinco,family,0.017,1
danigarlet,family,0.015,0
loverlees,family,0.044,1
cakeandconfetti,family,0.044,1
rex_and_ginger,family,0.035,0
jillfriary,family,0.032,0
alyssatoddammon,family,0.06,0
breetalks,family,0.044,1
thecurlycoopers,family,0.058,0
our.blessedlife,family,0.031,1
yasminegill,family,0.054,1
my_three_little_strawberries,family,0.04,1
dahs,family,0.063,0
jade.zara,family,0.034,1
juliecorletto_,family,0.135,0
amandalicia,family,0.067,1
jenncdelrio,family,0.052,1
ashleymaria143,family,0.03,1
wendilew,family,0.017,1
freckledhan,family,0.037,1
lovely.little.stars,family,0.103,1
parris.hodges,family,0.029,1
ren_ouellette,family,0.02,0
saraaemiliee,family,0.059,1
thegeorgiaedit,family,0.019,0
bourgiedads,family,0.012,1
meghankingsford,family,0.014,1
rockymtnmomma3,family,0.027,0
lifeasmum_blog,family,0.067,1
mamaingeniera,family,0.011,0
these_little_darlings,family,0.06,0
lvdmorethncrrts,family,0.042,0
ashlee_stood,family,0.01,1
ulipekstyle,family,0.062,0
raisingirishlads,family,0.043,0
wanderfullmum,family,0.032,1
ricominciodaquattro,family,0.013,0
upalalaok,family,0.059,1
cassiedavis2,family,0.035,1
familyfever,family,0.025,1
marilenjorgensen,family,0.022,0
magan.poole,family,0.058,1
pilatezmama,family,0.043,1
porschethomas,family,0.034,1
leighgeary,family,0.04,1
myplotofsunshine,family,0.03,0
brogan.georgiou,family,0.031,1
cassidiebasso,family,0.011,1
tinsleyandco,family,0.032,0
virgipiedrahita,family,0.059,1
elisesheree,family,0.062,0
littlemisstiggy,family,0.032,0
hayleypaigexoxo,family,0.024,1
_megleigh_,family,0.057,0
steffi_fi89,family,0.037,0
ashleypeavey,family,0.035,0
lynnmlilly,family,0.037,0
paigewright__,family,0.037,0
raising.two.ladies,family,0.027,1
curlygirl.ayla,family,0.048,0
araadstory,family,0.029,1
jessikataynarayt,family,0.07,1
gabyortegao,family,0.053,0
daviniamc,family,0.03,0
minidiamondblog,family,0.133,0
katelynbmelton,family,0.036,0
anklebitersadventures,family,0.028,1
juliascott.blog,family,0.019,1
normalmommyig,family,0.034,1
mackiddkc,family,0.039,0
thegingeradventure,family,0.047,1
life.as.leah_,family,0.046,1
themummyhomestead,family,0.048,1
hals_x3,family,0.044,1
momheels,family,0.06,0
_thismummycan_,family,0.028,1
j_mamax2,family,0.035,1
gracieandjudebug,family,0.011,0
imperfect.mummy,family,0.112,1
aliajanel,family,0.05,0
thecorporatemummy,family,0.068,0
christine_jane_,family,0.015,0
oakandoats,family,0.116,0
diventaremamma,family,0.016,0
shelbyveit,family,0.067,0
savy.jean,family,0.016,1
_this_sweet_life_of_mine,family,0.058,0
makennaashley,family,0.012,1
conmdemadre,family,0.02,1
laurenjimeson,family,0.039,0
ilaria_mammablogger,family,0.058,0
mrs.rus,family,0.037,1
taydigiacomo,family,0.019,1
yasminecamilla,family,0.141,1
readyfreddiego,family,0.066,0
amyplusbabies,family,0.063,1
alexajeanfitness,family,0.022,1
zaynne.and.chloe,family,0.066,1
homeboundbuthopeful,family,0.06,0
dadoffourboysandalittlelady,family,0.059,0
carolinafireflies,family,0.027,1
asliceofstyle,family,0.059,0
emilyparkin1,family,0.044,0
nicfries,family,0.047,0
thestoryoffive,family,0.043,1
thesoltropsix,family,0.046,1
valerie.cb,family,0.147,0
raisingsuchergirls,family,0.06,1
ourtinydiaries,family,0.024,1
mrs.duenas14,family,0.065,1
vardori,family,0.039,0
mumtoalltheboys,family,0.059,0
avafoley,family,0.042,1
clairekrista,family,0.014,1
saranicolebarlow,family,0.042,0
smcarrascoxo,family,0.092,1
her.nourished,family,0.046,0
lotti_and_me,family,0.042,0
lerefed,family,0.037,1
taylenbiggs,family,0.068,1
3littleladiesandme,family,0.048,0
rachel_bomar,family,0.024,0
charltaylor,family,0.036,0
raisinglittle.ts,family,0.039,1
faby_mamaedegemeos,family,0.15,1
hanmarquardt,family,0.012,0
mavericksmedia,family,0.012,0
thildainparis,family,0.086,0
officialbck,family,0.025,1
principessa.stella,family,0.039,0
marisolramon_,family,0.035,1
cammeomurray,family,0.015,1
itbabyeat,family,0.025,0
hideplayseek,family,0.027,1
briebeeks,family,0.05,0
zljubeznijomama,family,0.035,1
discoverelle,family,0.013,0
nikkinielsen,family,0.032,0
lil_posies,family,0.067,1
brittanyaldean,family,0.047,1
benjimantv,family,0.032,1
mothering4myhome,family,0.011,1
laneandlauren,family,0.01,0
amandaseghetti,family,0.035,0
madda.fashion,family,0.12,0
misszetarose,family,0.06,1
caroline.and.crew,family,0.011,0
gemmabrushneen,family,0.044,1
holycitychic,family,0.031,1
chloeastley,family,0.024,1
thechamberlaingang,family,0.041,0
lala_lee,family,0.043,1
xosaraherickson,family,0.125,1
this.glorious.life,family,0.027,1
laura.radicalroots,family,0.029,1
thefolkchildstories,family,0.054,1
nicolaljohnston,family,0.019,1
elyse_and_aurora,family,0.052,0
scotlynrae,family,0.022,1
november2007,family,0.063,0
whatmummythinks,family,0.033,1
wearethe.dunns,family,0.058,1
fonsecadeivid,family,0.028,1
babycenterlatino,family,0.045,1
serendipity_photos_australia,family,0.044,1
michelleanncantu,family,0.028,0
bij_fem,family,0.041,1
thewoodhouselife,family,0.043,1
hellomyraeofsunshine,family,0.066,1
the_adeline_social,family,0.068,1
culligan27,family,0.016,0
britt_hope,family,0.069,0
_jane_laur,family,0.043,0
leeannrae_pulchnyphoto,family,0.056,0
oskaranderika,family,0.015,0
hulasd,family,0.018,0
thejodybeth,family,0.06,0
2hearts_1love,family,0.047,0
sarahctravels,family,0.017,1
elianatardio,family,0.018,0
beautiesandthebibs,family,0.051,0
our.fam.in.squares,family,0.05,1
mrs.nicolephelps,family,0.034,0
____auguste____,family,0.045,1
teeter_totter_mom,family,0.063,0
inthemuddleofmitchells,family,0.021,0
tanja.madeleine,family,0.022,0
dear_desmond21,family,0.05,0
aspoonfuloffaith,family,0.053,1
life_mirroring,family,0.019,0
chrissyjpowers,family,0.065,1
alunderfullife,family,0.065,0
youaremoreblog,family,0.021,0
shylacino,family,0.01,0
howwedo208,family,0.069,1
callumers_,family,0.096,0
sixthbloom,family,0.059,0
raveandreview,family,0.031,0
drivenbylove_,family,0.022,1
the.oneills,family,0.029,0
millifox,family,0.063,0
mommychronicles,family,0.06,0
thedigigirls,family,0.013,1
thelaurendiaz,family,0.027,0
miamisworkingmom,family,0.026,1
ineheen,family,0.058,0
lola_jolie_official,family,0.082,0
warrenjconway,family,0.035,0
sheridaningalls,family,0.068,0
kirmeskind,family,0.013,0
thebillhorn,family,0.051,0
meganjhansennn,family,0.037,1
luciferikova,family,0.012,0
africasblog,family,0.025,0
party.team.kids,family,0.053,0
abbyevans,family,0.01,1
thehisfor,family,0.029,1
raising__julian,family,0.057,1
jessicaaveyuk,family,0.07,1
babiesandbeauty,family,0.039,0
angelaartosin,family,0.016,1
wearetheraads,family,0.142,0
kristinahunter_,family,0.045,0
jamieericksen,family,0.05,1
malinlidman,family,0.016,0
jessicaofelia,family,0.031,1
thefallonista,family,0.056,0
gemma_marin,family,0.057,0
mamasblogueando_guate,family,0.037,0
sarahjordanfm,family,0.067,1
hungryrunnergirl,family,0.041,1
ashleymerry,family,0.03,0
tanyathibodeau3,family,0.032,1
tinydoodleshop,family,0.056,0
renate.pettersen,family,0.055,0
makelleahlin.and.thelostboys,family,0.048,0
missylanning,family,0.011,0
britnymichelle,family,0.056,0
carlywad,family,0.02,0
therealitymom,family,0.024,0
b.plus.three,family,0.044,1
rageagainsttheminivan,family,0.065,1
bekah.roberts,family,0.043,0
mamaspohr,family,0.108,0
irishrivera,family,0.038,0
nicole.k.buchanan,family,0.019,1
voldens,family,0.042,0
greta.avanzini,family,0.046,1
themilkandmoscato,family,0.012,0
sienna.and.i,family,0.023,0
jessicasoakes,family,0.055,0
babybrezzacanada,family,0.05,0
guennradio,family,0.021,0
jamiespafford,family,0.056,1
canselxsen,family,0.048,0
elysendean,family,0.065,1
knowingtracy,family,0.053,0
thisishowwebingham,family,0.014,1
becci_hollie.mummy,family,0.066,1
estherachel,family,0.02,0
tellement_mom,family,0.07,0
littlegraythread,family,0.012,0
jan_lizardo,family,0.029,0
ysis,family,0.019,1
thecoldcraftsman,family,0.139,1
keeping.up.with.mumma.jones,family,0.063,0
wearethedavises,family,0.019,1
kristen.fitzpatrick,family,0.027,0
momlifepnw,family,0.047,1
lovinglivinglancaster,family,0.044,1
daryllfashion,family,0.016,0
thebalancedmama,family,0.025,1
meghankedmonds,family,0.055,0
emilywondree,family,0.121,0
tobyandroo,family,0.048,1
rachaelburgessmusic,family,0.03,0
carolinadeltaglia,family,0.049,0
withkendra,family,0.014,0
amywwaters,family,0.028,0
crystallily1,family,0.028,1
mrlmeldrum,family,0.023,1
bethanympoteet,family,0.019,0
gogetyourhappyon,family,0.024,1
topknotmum,family,0.041,0
joeyleeelizabeth,family,0.055,1
life.with.alba,family,0.027,1
adventuresinabbyland,family,0.066,1
shambrayblog,family,0.044,1
ramirezmama,family,0.044,0
tinchenmanderinchen,family,0.011,1
ivf.ninja,family,0.055,1
ellieandaddie,family,0.043,0
thislittlehomeofmineblog,family,0.045,0
brittlesser,family,0.029,0
amydori,family,0.043,0
atinycloset.it,family,0.023,1
hegemelkevig,family,0.139,0
jac.on.a.journey,family,0.061,1
amandaciurdar,family,0.073,0
thejamielynnshow,family,0.135,1
jackileejones,family,0.029,1
grrfeisty,family,0.016,1
threelittlefullers,family,0.041,1
politeasfudge,family,0.041,0
chasingmcallisters,family,0.047,0
zanacaushi,family,0.024,1
christinemcovino,family,0.054,1
ihaia.riki.and.i,family,0.086,1
thenashypears,family,0.061,1
adayinthelifedad,family,0.03,1
topherbrophy,family,0.068,1
ihustleforher,family,0.064,0
lifeonthephilpside,family,0.052,0
tanjaamandap,family,0.05,0
tribe_mom,family,0.06,1
theavaclarkedotcom,family,0.07,1
carlymarkham1,family,0.039,1
tea.lopez,family,0.039,0
tylertschmidt,family,0.03,0
laurenbrant,family,0.014,0
aliolives,family,0.065,0
_kristinhildebrand,family,0.032,1
createplaytravel,family,0.056,1
casadcrissy,family,0.016,1
jnfandrus,family,0.013,0
kiana.probst,family,0.079,0
theadamgregory,family,0.03,0
karlaceliss,family,0.123,1
christinapatricedance,family,0.067,1
linnbp77,family,0.06,1
rebeccaellenlamb,family,0.027,0
jenntherese,family,0.067,1
pocketful_of_sonshine,family,0.042,0
itsjuliwilliams,family,0.079,0
firesmaahjerter,family,0.027,1
tiffanydarlyn,family,0.043,1
smellybellytv,family,0.064,1
brisworld,family,0.028,0
danimariekrum,family,0.038,0
lanadmitruks,family,0.052,0
nuria_itmum,family,0.048,1
steph.soj,family,0.058,0
mywifestyles,family,0.06,1
harperwillow_x,family,0.067,0
the_coffee_mom,family,0.041,0
mrs.vjosa,family,0.021,0
sofia_hill,family,0.014,0
gioia.baby,family,0.053,1
crader12,family,0.042,0
addilahazhar.official,family,0.055,1
meadowofsix,family,0.011,0
katierosehui,family,0.035,0
jess.lifeloveliberty,family,0.026,0
summers1405,family,0.045,0
__mschell__,family,0.067,0
whatsupmoms,family,0.11,1
theluckyfewofficial,family,0.012,1
brendakbird,family,0.062,0
thisisjessicarose,family,0.033,0
littlemisshomelife,family,0.029,0
__the__lemons__,family,0.056,0
katiebabydoll,family,0.05,0
life_with_little_addi_bear,family,0.013,0
vanderjames,family,0.063,1
theupstatemama,family,0.094,0
thebucketlistfamily,family,0.046,0
dvm6031,family,0.032,0
inthesaltbox,family,0.026,1
mothermystical,family,0.034,1
lolo_webb,family,0.058,1
homeofthewildlings,family,0.028,0
mywanderlust.tribe,family,0.043,1
gingerbreadandbuttercup,family,0.03,1
the_taylor_brothers,family,0.018,0
while.she.wanders,family,0.02,1
sweet_cheeks_molly,family,0.012,1
beautifuleffort,family,0.041,1
the.sanook.crew,family,0.013,0
saralunacanola,family,0.069,1
thismessyseason,family,0.015,0
karacarrero,family,0.052,1
anzeladamovic,family,0.016,1
erins.captures,family,0.013,1
missdrewgordon,family,0.045,1
chellegold,family,0.067,0
christineyeargin,family,0.023,1
laurablack_x,family,0.019,0
gladd2besydney,family,0.023,0
malinlillevik2,family,0.065,1
charlotteskjold,family,0.042,1
jenniferborget,family,0.047,1
minimimimodelling,family,0.024,0
lovestalgia,family,0.065,0
fifi_box,family,0.015,1
justmomminaround,family,0.016,1
yolakin,family,0.064,0
rheamendezona,family,0.055,1
idabirk,family,0.062,0
mariannesophia,family,0.052,1
brooklyn_dieterle,family,0.019,1
crazylifewithlittles,family,0.063,0
the_brownings,family,0.068,0
mrsgifletcher,family,0.024,0
kristennicoleyoung,family,0.025,1
vallieleonora_,family,0.049,1
oljas_view,family,0.027,0
thechicmamas,family,0.023,1
steph_dontbuyherflowers,family,0.052,1
brksedu,family,0.043,1
christine_simplybloom,family,0.049,0
caitieandkids,family,0.047,0
lareinedeliode,family,0.014,0
onemissingmum,family,0.026,1
littlepaperswan,family,0.028,0
melaina25,family,0.031,1
dr.teema,family,0.033,1
paisleyroots,family,0.014,0
kayla_cantor,family,0.016,0
mammaminas,family,0.067,1
jcpasx,family,0.025,1
thebusyboymama,family,0.022,1
chasing.kerrs,family,0.044,0
brittanyamonroe,family,0.039,0
momlifeinthepnw,family,0.057,0
lifewithmylittleones,family,0.041,1
mysticbutterfly37,family,0.015,1
dean.adventures,family,0.072,0
thelittlecrew,family,0.027,1
aubree.morrell,family,0.05,1
